LevelName	NavigationMeshLoad	Time(s)	#Initial Polygons	#Obstacles	#Final Polygons	Search Type	Time(s)	#Nodes Visited	Max Nodes in Queue	Path Length (Polygons)	Path Cost(units)
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01363611	1800	36	119	Dynamic Weighted BDBOP	0.001470089	16	33	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01340485	1800	36	119	FringeSearch	0.001735687	102	34	15	88.67395	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01439238	1800	36	119	A* Optimal	0.001780987	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.02082682	1800	36	119	Dynamic Weighted BDBOP	0.001456261	16	33	15	93.95207	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.2259502	44800	803	2819	A* Optimal	0.007270813	1601	134	82	554.954	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1023641	44800	803	2819	Dynamic Weighted BDBOP	0.003164291	354	106	78	690.8974	
Xanadu	load Navigation Mesh	0.107532	7000	430	1151	A* Optimal	0.003737926	1150	39	237	3163.906	
Xanadu	load Navigation Mesh	0.05098581	7000	430	1151	Dynamic Weighted BDBOP	0.003781796	1128	47	324	3502.489	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.06334019	1800	36	119	A* Optimal	0.001860142	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01469994	1800	36	119	A* Optimal	0.03459191	70	21	18	86.29044	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1447277	44800	803	2819	Dynamic Weighted BDBOP	0.002861023	268	200	88	796.5035	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.09602594	44800	803	2819	Dynamic Weighted BDBOP	0.003843307	409	200	88	796.5035	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1000729	44800	803	2819	Dynamic Weighted BDBOP	0.00288868	354	106	78	690.8974	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1024032	44800	803	2819	Dynamic Weighted BDBOP	0.002983093	354	106	78	690.8974	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1015339	44800	803	2819	Dynamic Weighted BDBOP	0.002806664	353	100	78	690.8974	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01580715	1800	36	119	A*	0.0023489	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01796222	1800	36	119	A*	0.002018929	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01475692	1800	36	119	A*	0.002027035	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01413536	1800	36	119	Dynamic Weighted BDBOP	0.001432896	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.4948797	1800	36	119	Dynamic Weighted BDBOP	0.001398087	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.05129766	1800	36	119	Dynamic Weighted BDBOP	0.01998091	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01507235	1800	36	119	Dynamic Weighted BDBOP	0.02210712	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01441002	1800	36	119	A*	0.002151012	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01435709	1800	36	119	Dynamic Weighted BDBOP	0.00162077	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.02834177	1800	36	119	A*	0.002403259	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.07600999	1800	36	119	A*	0.0007562637	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5938058	1800	36	119	A*	0.0006299019	0	1	0	0	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.05730391	1800	36	119	A*	0.0006599426	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.565485	1800	36	119	A* Optimal	0.0008268356	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5785079	1800	36	119	A*	0.0006332397	0	1	0	0	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.02922869	1800	36	119	A* Optimal	0.001241684	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.567522	1800	36	119	A*	0.0007600784	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5102429	1800	36	119	A*	0.0005888939	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.538579	1800	36	119	A*	0.0006046295	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5596232	1800	36	119	A*	0.0005946159	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5503259	1800	36	119	A*	0.0006313324	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5302231	1800	36	119	A*	0.0007209778	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.513876	1800	36	119	A*	0.0006103516	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5272169	1800	36	119	A*	0.0006048679	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5167758	1800	36	119	A*	0.0005800724	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5654888	1800	36	119	A*	0.0005979538	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5936053	1800	36	119	A*	0.00060606	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.6042671	1800	36	119	A*	0.0005931854	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.57447	1800	36	119	A*	0.0006117821	0	1	0	0	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.546761	1800	36	119	A*	0.00198698	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5438712	1800	36	119	A*	0.001984835	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5513659	1800	36	119	A*	0.002009869	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5858788	1800	36	119	A*	0.007619381	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01432109	1800	36	119	A*	0.002064943	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.63936	1800	36	119	A*	0.00235033	70	21	18	86.29044	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.4329224	44800	803	2819	A*	0.001266479	0	1	0	0	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.0978241	44800	803	2819	A*	0.0007171631	0	1	0	0	
HugePlaneWithRandomCubes1	build Navigation Mesh	207.0272	44800	803	2819	A*	0.1569519	1599	134	82	554.954	
TryAnotherHuge	build Navigation Mesh	2309.747	400	3170	8173	A*	3.106689	7957	234	190	4004.154	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.6749277	1800	36	119	A*	0.002597332	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.6362972	1800	36	119	A*	0.002328873	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.611402	1800	36	119	A*	0.002206326	70	21	18	86.29044	
HugePlaneWithRandomCubes1	build Navigation Mesh	205.8374	44800	803	2819	A*	0.1394806	1599	134	82	554.954	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5486994	1800	36	119	Dynamic Weighted BDBOP	0.001283646	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.0142622	1800	36	119	Dynamic Weighted BDBOP	0.001215935	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01461458	1800	36	119	Dynamic Weighted BDBOP	0.001245022	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01345062	1800	36	119	Dynamic Weighted BDBOP	0.002630234	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	build Navigation Mesh	0.5296621	1800	36	119	Dynamic Weighted BDBOP	0.003463745	15	28	15	93.95207	
